"stateroute","spRich","ndvi.mean","nbcd.point","nbcd.mean","nbcd.var","file"
14432,71,0.689196444444444,0,0,0,"NBCD_MZ03_BAW_height.tif"
14434,60,0.729846748538012,167,181.833333333333,648.566666666667,"NBCD_MZ06_BAW_height.tif"
14435,55,0.890588508186609,0,0,0,"NBCD_MZ03_BAW_height.tif"
17004,54,0.608667982456141,0,0,0,"NBCD_MZ33_BAW_height.tif"
17008,73,0.454759555555555,0,0,0,"NBCD_MZ23_BAW_height.tif"
17009,74,0.755821367521367,0,0,0,"NBCD_MZ23_BAW_height.tif"
17009,74,0.755821367521367,0,0,0,"NBCD_MZ28_BAW_height.tif"
17011,66,0.605615789473684,68,11.3333333333333,770.666666666667,"NBCD_MZ28_BAW_height.tif"
17012,50,0.474632456140351,0,0,0,"NBCD_MZ27_BAW_height.tif"
17013,26,0.406284415584416,0,0,0,"NBCD_MZ33_BAW_height.tif"
17016,62,0.693125438596491,56,68.8333333333333,492.166666666667,"NBCD_MZ23_BAW_height.tif"
17017,81,0.624529223744292,0,0,0,"NBCD_MZ23_BAW_height.tif"
17031,69,0.451512820512821,0,0,0,"NBCD_MZ23_BAW_height.tif"
17032,66,0.616198268398268,0,0,0,"NBCD_MZ23_BAW_height.tif"
17033,32,0.711598333333333,0,0,0,"NBCD_MZ28_BAW_height.tif"
17040,55,0.681304273504274,0,49,5762.8,"NBCD_MZ28_BAW_height.tif"
17046,66,0.640094366197183,0,18.6666666666667,2090.66666666667,"NBCD_MZ23_BAW_height.tif"
17047,48,0.622283333333333,80,74.3333333333333,1541.06666666667,"NBCD_MZ23_BAW_height.tif"
17047,48,0.622283333333333,87,70.8333333333333,1207.76666666667,"NBCD_MZ28_BAW_height.tif"
17052,66,0.749001731601731,0,0,0,"NBCD_MZ28_BAW_height.tif"
17055,43,0.444098122065728,0,0,0,"NBCD_MZ28_BAW_height.tif"
17056,35,0.466088596491228,0,0,0,"NBCD_MZ27_BAW_height.tif"
17057,68,0.39367027027027,0,0,0,"NBCD_MZ27_BAW_height.tif"
17058,27,0.405549099099099,0,0,0,"NBCD_MZ33_BAW_height.tif"
17202,55,0.782944017094017,0,0,0,"NBCD_MZ28_BAW_height.tif"
17203,50,0.750300761685572,0,27.5,1817.5,"NBCD_MZ28_BAW_height.tif"
17209,72,0.748128888888889,66,58.4285714285714,730.619047619048,"NBCD_MZ23_BAW_height.tif"
17209,72,0.748128888888889,68,69.4285714285714,1011.95238095238,"NBCD_MZ28_BAW_height.tif"
17213,25,0.428198290598291,0,0,0,"NBCD_MZ27_BAW_height.tif"
