"statenum","route","latitude","longitude","stateroute"
7,22,35.4263985,-93.6640897,7022
7,23,35.7806777,-93.0696409,7023
7,24,35.3514159,-94.3318236,7024
7,25,36.4436877,-90.9236529,7025
7,26,36.0989147,-91.7354059,7026
7,27,36.4061087,-92.1148009,7027
7,28,36.1206137,-93.2802279,7028
7,29,36.4053037,-94.1100149,7029
7,30,36.329802,-94.303299,7030
7,31,36.394077,-93.472462,7031
7,32,36.210562,-92.751243,7032
7,33,36.313763,-91.22905,7033
7,34,36.240019,-90.517158,7034
7,35,35.901224,-90.000225,7035
7,36,35.396663,-90.966633,7036
7,37,35.373736,-91.658032,7037
7,38,35.939336,-92.442323,7038
7,39,35.075027,-93.68179,7039
7,40,34.462149,-94.305347,7040
7,41,34.65949,-93.689266,7041
7,42,34.559183,-92.001796,7042
7,43,34.13829,-91.573969,7043
7,45,33.782848,-94.006856,7045
7,46,33.026092,-93.493628,7046
7,47,33.454572,-92.967494,7047
7,48,33.796907,-91.220963,7048
7,49,35.615095,-94.344402,7049
7,102,33.1666667,-91.3166667,7102
7,103,33.9394687,-92.5894309,7103
7,109,34.7008083,-91.7077371,7109
7,111,34.7023815,-92.8007333,7111
7,112,34.35,-92.633333,7112
7,114,34.8282537,-93.2368089,7114
7,117,35.5182227,-90.2867129,7117
7,118,35.3146835,-91.3577331,7118
7,900,35.6440029,-93.2948547,7900
7,901,35.1599347,-93.4248279,7901
7,902,35.6923427,-93.8210314,7902
7,903,33.6978337,-92.6142649,7903
7,904,34.7364157,-90.684515,7904
11,1,48.78529,-123.59913,11001
11,2,48.4223,-124.05527,11002
11,3,49.29379,-114.73244,11003
11,4,49.46161,-115.51624,11004
11,5,49.2998,-116.66111,11005
11,6,49.14681,-117.25726,11006
11,7,49.77716,-118.14029,11007
11,8,49.44594,-119.07822,11008
11,9,49.15319,-120.59727,11009
11,10,49.29488,-121.68847,11010
11,11,49.18402,-122.53478,11011
11,12,49.40682,-123.51336,11012
11,13,49.26155,-124.83643,11013
11,14,49.47547,-125.18799,11014
11,15,50.2456,-114.9578,11015
11,16,50.23927,-115.87449,11016
11,17,50.92435,-116.47839,11017
11,18,50.03801,-117.20573,11018
11,19,50.44063,-118.74332,11019
11,20,50.67375,-119.32095,11020
11,21,50.28285,-120.69166,11021
11,22,50.02257,-121.09934,11022
11,23,50.7898,-122.22407,11023
11,26,50.02638,-125.24111,11026
11,27,50.35,-126.15643,11027
11,28,50.70394,-127.87685,11028
11,29,51.32189,-116.98707,11029
11,30,51.50424,-117.41691,11030
11,31,51.67589,-118.63605,11031
11,32,51.03674,-119.39066,11032
11,33,51.38704,-120.71029,11033
11,34,51.41319,-121.97944,11034
11,36,51.56289,-123.69749,11036
11,37,51.48959,-124.39194,11037
11,42,52.52649,-119.11384,11042
11,43,52.09082,-120.79386,11043
11,44,52.89753,-121.33773,11044
11,45,52.14952,-122.06768,11045
11,46,52.2551,-123.52471,11046
11,48,52.51026,-125.40723,11048
11,49,52.38755,-126.52696,11049
11,53,53.27895,-120.0785,11053
11,54,53.03893,-121.98128,11054
11,55,53.97137,-122.46127,11055
11,57,53.59811,-124.90146,11057
11,58,53.08394,-119.67144,11058
11,63,54.968859,-120.110868,11063
11,65,54.98797,-123.0335,11065
11,67,54.08715,-124.83168,11067
11,68,54.41321,-125.41909,11068
11,69,54.36058,-126.79256,11069
11,70,55.00224,-127.31883,11070
11,71,54.37166,-128.58215,11071
11,72,54.33308,-129.29622,11072
11,74,55.45441,-120.15842,11074
11,75,55.45083,-123.20833,11075
11,78,55.7995,-124.73047,11078
11,79,55.60208,-125.17355,11079
11,81,55.15831,-127.8863,11081
11,82,55.77153,-128.84994,11082
11,83,55.208608,-129.134639,11083
11,84,56.363,-120.39971,11084
11,85,56.03028,-121.90827,11085
11,93,56.10483,-129.28439,11093
11,101,48.757438,-123.598512,11101
11,102,48.582066,-124.394624,11102
11,106,57.50214,-130.22035,11106
11,110,58.84236,-122.91585,11110
11,111,58.66046,-123.85158,11111
11,112,58.66678,-123.95445,11112
11,114,49.513493,-125.125803,11114
11,116,50.63278,-116.05594,11116
11,117,58.1,-129.86339,11117
11,118,51.249,-116.67451,11118
11,125,59.98089,-122.92073,11125
11,126,50.02638,-125.24111,11126
11,131,51.67589,-118.63605,11131
11,132,59.22053,-129.7417,11132
11,133,51.38704,-120.71029,11133
11,134,59.94131,-131.97479,11134
11,136,60.00029,-133.79492,11136
11,137,60.00179,-134.66026,11137
11,139,59.4505,-136.36189,11139
11,150,49.67907,-126.11727,11150
11,167,54.08715,-124.83168,11167
11,175,55.925337,-120.992768,11175
11,181,55.196991,-127.74637,11181
11,185,55.57768,-121.5912,11185
11,198,54.03085,-132.05651,11198
11,199,53.25051,-132.11712,11199
11,200,53.23725,-131.86411,11200
11,201,48.40459,-123.34957,11201
11,202,48.87213,-124.81477,11202
11,204,49.64847,-115.64972,11204
11,205,49.07317,-116.52268,11205
11,206,49.50856,-117.61742,11206
11,207,49.04169,-118.47504,11207
11,208,49.59762,-119.72963,11208
11,209,49.1322,-120.29275,11209
11,210,49.04834,-121.97367,11210
11,211,49.23117,-122.68951,11211
11,212,49.26269,-123.25848,11212
11,213,49.78313,-124.17869,11213
11,214,49.04273,-125.69448,11214
11,216,50.6492,-115.84356,11216
11,218,50.33732,-116.99999,11218
11,220,50.26615,-119.08702,11220
11,221,50.22497,-120.61948,11221
11,222,50.88093,-121.82873,11222
11,223,50.14379,-122.95793,11223
11,226,50.18259,-125.49475,11226
11,228,50.28543,-127.34662,11228
11,229,51.41655,-117.00095,11229
11,230,51.18085,-117.76182,11230
11,232,51.41576,-119.43477,11232
11,233,51.31666,-120.14999,11233
11,234,51.97885,-121.46523,11234
11,235,51.95592,-122.40933,11235
11,236,51.79483,-123.07011,11236
11,237,51.98254,-124.36813,11237
11,244,52.47331,-121.38518,11244
11,245,52.12432,-122.34963,11245
11,248,52.25749,-125.08943,11248
11,254,53.73398,-121.74297,11254
11,255,53.9421,-122.8157,11255
