"xllcorner","yllcorner","cellsize","nrows","ncols","band","units","scale","latitude","longitude","site","product","start","end","complete","modis_date","calendar_date","tile","proc_date","pixel","value"
"-6206305.56","4818452.22","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",43.33333,-76.73333,"  8","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009177","2009-06-26","h12v04","2015191095942",1,8393
"-6206305.56","4818452.22","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",43.33333,-76.73333,"  8","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009193","2009-07-12","h12v04","2015192135920",1,7516
"-6206305.56","4818452.22","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",43.33333,-76.73333,"  8","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009209","2009-07-28","h12v04","2015192141938",1,8505
"-6260281.37","4811039.29","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",43.26667,-77.31667,"  9","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009129","2009-05-09","h12v04","2015189212107",1,8202
"-6260281.37","4811039.29","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",43.26667,-77.31667,"  9","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009145","2009-05-25","h12v04","2015190122258",1,8642
"-6260281.37","4811039.29","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",43.26667,-77.31667,"  9","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009161","2009-06-10","h12v04","2015190223549",1,8377
"-6260281.37","4811039.29","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",43.26667,-77.31667,"  9","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009177","2009-06-26","h12v04","2015191095942",1,8161
"-6260281.37","4811039.29","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",43.26667,-77.31667,"  9","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009193","2009-07-12","h12v04","2015192135920",1,7334
"-6260281.37","4811039.29","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",43.26667,-77.31667,"  9","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009209","2009-07-28","h12v04","2015192141938",1,7720
"-6204915.63","4818452.22","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",43.33333,-76.71667," 10","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009129","2009-05-09","h12v04","2015189212107",1,7622
