"filename","siteID","class","n.patches","total.area","prop.landscape","patch.density","total.edge","edge.density","landscape.shape.index","largest.patch.index","mean.patch.area","sd.patch.area","min.patch.area","max.patch.area","perimeter.area.frac.dim","mean.perim.area.ratio","sd.perim.area.ratio","min.perim.area.ratio","max.perim.area.ratio","mean.shape.index","sd.shape.index","min.shape.index","max.shape.index","mean.frac.dim.index","sd.frac.dim.index","min.frac.dim.index","max.frac.dim.index","total.core.area","prop.landscape.core","mean.patch.core.area","sd.patch.core.area","min.patch.core.area","max.patch.core.area","prop.like.adjacencies","aggregation.index","lanscape.division.index","splitting.index","effective.mesh.size","patch.cohesion.index"
"classStat_nlcd_30x30_2001_bbc_47.csv","47",21,2,30,0.434782608695652,0.0289855072463768,44,0.63768115942029,2,0.376811594202899,15,15.556349186104,4,26,2.94453773575739,2.11538461538462,1.25103507440697,1.23076923076923,3,1.47727272727273,0.0321412173266612,1.45454545454545,1.5,1.43071941102067,0.218132669356761,1.27647632132018,1.58496250072116,1,0.0144927536231884,0.5,0.707106781186548,0,1,0.463414634146341,77.5510204081633,0.854652383952951,6.88005780346821,10.0289855072464,7.01407175457859
"classStat_nlcd_30x30_2001_bbc_47.csv","47",41,1,11,0.159420289855072,0.0144927536231884,20,0.289855072463768,1.42857142857143,0.159420289855072,11,NA,11,11,3.67191832141884,1.81818181818182,NA,1.81818181818182,1.81818181818182,1.42857142857143,NA,1.42857142857143,1.42857142857143,1.34237548294248,NA,1.34237548294248,1.34237548294248,0,0,0,NA,0,0,0.375,80,0.974585171182525,39.3471074380165,1.7536231884058,6.14400502768498
"classStat_nlcd_30x30_2001_bbc_47.csv","47",82,1,4,0.0579710144927536,0.0144927536231884,10,0.144927536231884,1.25,0.0579710144927536,4,NA,4,4,5.25430382647995,2.5,NA,2.5,2.5,1.25,NA,1.25,1.25,1.32192809488736,NA,1.32192809488736,1.32192809488736,0,0,0,NA,0,0,0.230769230769231,100,0.996639361478681,297.5625,0.231884057971014,4.39807073457115
"classStat_nlcd_30x30_2001_bbc_47.csv","47",90,2,24,0.347826086956522,0.0289855072463768,32,0.463768115942029,1.6,0.289855072463768,12,11.3137084989848,4,20,2.67867524124019,1.8,0.989949493661166,1.1,2.5,1.23611111111111,0.0196418550329596,1.22222222222222,1.25,1.23002294075259,0.12997351542938,1.13811778661782,1.32192809488736,3,0.0434782608695652,1.5,2.12132034355964,0,3,0.5,84.2105263157895,0.912623398445705,11.4447115384615,6.02898550724638,6.72176239089987
"classStat_nlcd_30x30_2001_bbc_48.csv","48",21,1,6,0.162162162162162,0.027027027027027,18,0.486486486486487,1.8,0.162162162162162,6,NA,6,6,6.16000427155056,3,NA,3,3,1.8,NA,1.8,1.8,1.67888315659275,NA,1.67888315659275,1.67888315659275,0,0,0,NA,0,0,0.142857142857143,42.8571428571429,0.973703433162893,38.0277777777778,0.972972972972973,4.94468327752182
"classStat_nlcd_30x30_2001_bbc_48.csv","48",22,1,1,0.027027027027027,0.027027027027027,4,0.108108108108108,1,0.027027027027027,1,NA,1,1,10.121576876138,4,NA,4,4,1,NA,1,1,NA,NA,Inf,-Inf,0,0,0,NA,0,0,0,0,0.99926953981008,1369,0.027027027027027,NA
"classStat_nlcd_30x30_2001_bbc_48.csv","48",41,1,26,0.702702702702703,0.027027027027027,40,1.08108108108108,1.81818181818182,0.702702702702703,26,NA,26,26,3.08333106642094,1.53846153846154,NA,1.53846153846154,1.53846153846154,1.81818181818182,NA,1.81818181818182,1.81818181818182,1.41345418475066,NA,1.41345418475066,1.41345418475066,2,0.0540540540540541,2,NA,2,2,0.444444444444444,78.0487804878049,0.506208911614317,2.02514792899408,18.2702702702703,6.71726171567417
"classStat_nlcd_30x30_2001_bbc_48.csv","48",52,1,1,0.027027027027027,0.027027027027027,4,0.108108108108108,1,0.027027027027027,1,NA,1,1,10.121576876138,4,NA,4,4,1,NA,1,1,NA,NA,Inf,-Inf,0,0,0,NA,0,0,0,0,0.99926953981008,1369,0.027027027027027,NA
"classStat_nlcd_30x30_2001_bbc_48.csv","48",81,1,3,0.0810810810810811,0.027027027027027,8,0.216216216216216,1,0.0810810810810811,3,NA,3,3,5.74788892729524,2.66666666666667,NA,2.66666666666667,2.66666666666667,1,NA,1,1,1.26185950714291,NA,1.26185950714291,1.26185950714291,0,0,0,NA,0,0,0.2,100,0.993425858290723,152.111111111111,0.243243243243243,3.53166543080267
"classStat_nlcd_30x30_2001_bbc_49.csv","49",0,1,41,1,0.024390243902439,28,0.682926829268293,1.07692307692308,1,41,NA,41,41,1.36260609763548,0.682926829268293,NA,0.682926829268293,0.682926829268293,1.07692307692308,NA,1.07692307692308,1.07692307692308,1.04799913081114,NA,1.04799913081114,1.04799913081114,17,0.414634146341463,17,NA,17,17,0.708333333333333,98.5507246376812,0,1,41,7.12042720125227
"classStat_nlcd_30x30_2001_bbc_5.csv","5",22,2,27,0.18,0.0133333333333333,32,0.213333333333333,1.45454545454545,0.166666666666667,13.5,16.2634559672906,2,25,2.3728371656631,2.02,1.38592929112563,1.04,3,1.15,0.212132034355964,1,1.3,1.166470542268,0.00488534301497553,1.16301608309369,1.16992500144231,5,0.0333333333333333,2.5,3.53553390593274,0,5,0.542857142857143,88.3720930232558,0.972044444444444,35.7710651828299,4.19333333333333,7.3114727232585
"classStat_nlcd_30x30_2001_bbc_5.csv","5",23,4,39,0.26,0.0266666666666667,76,0.506666666666667,2.92307692307692,0.126666666666667,9.75,7.45542308211501,1,19,3.93593630637892,2.39204545454545,1.07715045335995,1.75,4,1.4265873015873,0.489255299715108,1,2.11111111111111,1.35882031252698,0.162763706787501,1.20490328137174,1.52918217326672,0,0,0,0,0,0,0.344827586206897,61.5384615384615,0.975688888888889,41.1334552102377,3.64666666666667,6.70272292398916
"classStat_nlcd_30x30_2001_bbc_5.csv","5",24,1,84,0.56,0.00666666666666667,72,0.48,1.89473684210526,0.56,84,NA,84,84,1.71392481921457,0.857142857142857,NA,0.857142857142857,0.857142857142857,1.89473684210526,NA,1.89473684210526,1.89473684210526,1.30466768955589,NA,1.30466768955589,1.30466768955589,22,0.146666666666667,22,NA,22,22,0.647058823529412,88.5906040268456,0.6864,3.18877551020408,47.04,8.18150104852979
"classStat_nlcd_30x30_2001_bbc_50.csv","50",42,3,77,0.427777777777778,0.0166666666666667,102,0.566666666666667,2.83333333333333,0.288888888888889,25.6666666666667,24.704925284917,3,52,2.65260683407809,1.91064491064491,1.23684295761769,1.09090909090909,3.33333333333333,1.57222222222222,0.601925921368082,1.2,2.26666666666667,1.42049938172162,0.254653904061226,1.15932375324148,1.66808753429294,5,0.0277777777777778,1.66666666666667,1.52752523165195,0,3,0.502439024390244,75.7352941176471,0.901327160493827,10.1345010947764,17.7611111111111,7.80288547190617
"classStat_nlcd_30x30_2001_bbc_50.csv","50",52,2,103,0.572222222222222,0.0111111111111111,114,0.633333333333333,2.71428571428571,0.416666666666667,51.5,33.2340187157677,28,75,2.21403348140836,1.25238095238095,0.451201469899987,0.933333333333333,1.57142857142857,1.97222222222222,0.0392837100659193,1.94444444444444,2,1.3825442417939,0.0801580643753064,1.32586393090733,1.43922455268047,20,0.111111111111111,10,14.142135623731,0,20,0.566539923954373,80.5405405405405,0.802191358024691,5.05539085660789,35.6055555555556,8.08191506377558
"classStat_nlcd_30x30_2001_bbc_51.csv","51",21,1,27,0.203007518796992,0.0075187969924812,44,0.330827067669173,2,0.203007518796992,27,NA,27,27,3.26598188532042,1.62962962962963,NA,1.62962962962963,1.62962962962963,2,NA,2,2,1.45510555909609,NA,1.45510555909609,1.45510555909609,0,0,0,NA,0,0,0.421052631578947,74.4186046511628,0.958787947311889,24.2647462277092,5.4812030075188,7.37526452461771
"classStat_nlcd_30x30_2001_bbc_51.csv","51",41,2,100,0.75187969924812,0.0150375939849624,78,0.586466165413534,1.95,0.593984962406015,50,41.0121933088198,21,79,1.55837571149599,1.15792646172393,0.921497806464928,0.506329113924051,1.80952380952381,1.50555555555556,0.557828682936054,1.11111111111111,1.9,1.2664303915884,0.300495686840683,1.05394785370604,1.47891292947075,44,0.330827067669173,22,31.1126983722081,0,44,0.673640167364017,89.9441340782123,0.622251116513087,2.64726129901227,50.2406015037594,8.02896485423414
"classStat_nlcd_30x30_2001_bbc_51.csv","51",43,1,4,0.0300751879699248,0.0075187969924812,10,0.075187969924812,1.25,0.0300751879699248,4,NA,4,4,5.25430382647995,2.5,NA,2.5,2.5,1.25,NA,1.25,1.25,1.32192809488736,NA,1.32192809488736,1.32192809488736,0,0,0,NA,0,0,0.230769230769231,100,0.999095483068574,1105.5625,0.120300751879699,4.56644501523794
"classStat_nlcd_30x30_2001_bbc_51.csv","51",82,1,2,0.0150375939849624,0.0075187969924812,6,0.0451127819548872,1,0.0150375939849624,2,NA,2,2,6.81369690625718,3,NA,3,3,1,NA,1,1,1.16992500144231,NA,1.16992500144231,1.16992500144231,0,0,0,NA,0,0,0.142857142857143,100,0.999773870767143,4422.25,0.0300751879699248,2.67496155809537
"classStat_nlcd_30x30_2001_bbc_52.csv","52",41,1,49,1,0.0204081632653061,32,0.653061224489796,1.14285714285714,1,49,NA,49,49,1.30339724161101,0.653061224489796,NA,0.653061224489796,0.653061224489796,1.14285714285714,NA,1.14285714285714,1.14285714285714,1.06862156132407,NA,1.06862156132407,1.06862156132407,21,0.428571428571429,21,NA,21,21,0.719298245614035,98.7951807228916,0,1,49,7.34693877551021
"classStat_nlcd_30x30_2001_bbc_53.csv","53",11,1,24,1,0.0416666666666667,22,0.916666666666667,1.1,1,24,NA,24,24,1.83166422264728,0.916666666666667,NA,0.916666666666667,0.916666666666667,1.1,NA,1.1,1.1,1.07282518373944,NA,1.07282518373944,1.07282518373944,7,0.291666666666667,7,NA,7,7,0.627118644067797,97.3684210526316,0,1,24,6.33418376202804
"classStat_nlcd_30x30_2001_bbc_54.csv","54",11,1,44,1,0.0227272727272727,30,0.681818181818182,1.07142857142857,1,44,NA,44,44,1.36073684190058,0.681818181818182,NA,0.681818181818182,0.681818181818182,1.07142857142857,NA,1.07142857142857,1.07142857142857,1.064905945771,NA,1.064905945771,1.064905945771,18,0.409090909090909,18,NA,18,18,0.70873786407767,98.6486486486486,0,1,44,7.21215928149509
"classStat_nlcd_30x30_2001_bbc_55.csv","55",41,1,7,0.166666666666667,0.0238095238095238,16,0.380952380952381,1.33333333333333,0.166666666666667,7,NA,7,7,4.66911480395957,2.28571428571429,NA,2.28571428571429,2.28571428571429,1.33333333333333,NA,1.33333333333333,1.33333333333333,1.42482874843209,NA,1.42482874843209,1.42482874843209,0,0,0,NA,0,0,0.272727272727273,75,0.972222222222222,36,1.16666666666667,5.26053361380661
"classStat_nlcd_30x30_2001_bbc_55.csv","55",52,1,12,0.285714285714286,0.0238095238095238,28,0.666666666666667,2,0.285714285714286,12,NA,12,12,4.70851529411777,2.33333333333333,NA,2.33333333333333,2.33333333333333,2,NA,2,2,1.56618370289389,NA,1.56618370289389,1.56618370289389,0,0,0,NA,0,0,0.263157894736842,58.8235294117647,0.918367346938776,12.25,3.42857142857143,6.01565055761833
"classStat_nlcd_30x30_2001_bbc_55.csv","55",71,1,23,0.547619047619048,0.0238095238095238,42,1,2.1,0.547619047619048,23,NA,23,23,3.66275782207352,1.82608695652174,NA,1.82608695652174,1.82608695652174,2.1,NA,2.1,2.1,1.49984346660113,NA,1.49984346660113,1.49984346660113,0,0,0,NA,0,0,0.373134328358209,69.4444444444444,0.700113378684807,3.33459357277883,12.5952380952381,6.69356708585223
"classStat_nlcd_30x30_2001_bbc_56.csv","56",11,3,44,0.260355029585799,0.0177514792899408,44,0.260355029585799,1.57142857142857,0.248520710059172,14.6666666666667,23.6713610367747,1,42,1.99175606110338,2.95238095238095,1.81452941745311,0.857142857142857,4,1.12820512820513,0.222057795842164,1,1.38461538461538,1.17571899163488,NA,1.17571899163488,1.17571899163488,13,0.0769230769230769,4.33333333333333,7.50555349946513,0,13,0.6,89.1891891891892,0.938167431112356,16.1727066817667,10.4497041420118,7.80643061573454
"classStat_nlcd_30x30_2001_bbc_56.csv","56",21,3,10,0.0591715976331361,0.0177514792899408,24,0.142011834319527,1.71428571428571,0.0414201183431953,3.33333333333333,3.21455025366432,1,7,5.04210562594206,3,1,2,4,1.05555555555556,0.0962250448649377,1,1.16666666666667,1.22875531361313,0.083198625350619,1.16992500144231,1.28758562578396,0,0,0,0,0,0,0.25,61.5384615384615,0.998109309898113,528.907407407407,0.319526627218935,5.52632443255676
