"stateroute","ndvi.mean","nbcd.point","nbcd.mean","nbcd.var","file"
4055,0.8554625,NA,NA,NA,NA
4057,0.810030476190476,NA,NA,NA,NA
4062,0.854440366972477,NA,NA,NA,NA
4063,0.842314953271028,NA,NA,NA,NA
4077,0.822812389380531,NA,NA,NA,NA
4078,0.817892920353982,NA,NA,NA,NA
4079,0.817852542372881,NA,NA,NA,NA
4096,0.748520652173913,NA,NA,NA,NA
4101,0.441891954022989,NA,NA,NA,NA
4102,0.57936404494382,NA,NA,NA,NA
4103,0.649230434782609,NA,NA,NA,NA
4104,0.722927272727273,NA,NA,NA,NA
4105,0.823043956043956,NA,NA,NA,NA
4106,0.585516853932584,NA,NA,NA,NA
4107,0.457418681318681,NA,NA,NA,NA
4108,0.649894565217391,NA,NA,NA,NA
4109,0.814071111111111,NA,NA,NA,NA
4110,0.854234408602151,NA,NA,NA,NA
4111,0.487324210526316,NA,NA,NA,NA
4112,0.498747777777778,NA,NA,NA,NA
4113,0.600845360824742,NA,NA,NA,NA
4114,0.820111578947368,NA,NA,NA,NA
4115,0.840702105263158,NA,NA,NA,NA
4116,0.713886170212766,NA,NA,NA,NA
4119,0.735703157894737,NA,NA,NA,NA
4120,0.725976041666667,NA,NA,NA,NA
4121,0.849037373737374,NA,NA,NA,NA
4122,0.8561,NA,NA,NA,NA
4123,0.725344791666667,NA,NA,NA,NA
4125,0.470958899565317,NA,NA,NA,NA
4126,0.707620792079208,NA,NA,NA,NA
4127,0.728967010309278,NA,NA,NA,NA
4128,0.743658163265306,NA,NA,NA,NA
4129,0.810564,NA,NA,NA,NA
4130,0.830312745098039,NA,NA,NA,NA
4131,0.855442424242424,NA,NA,NA,NA
4136,0.864216666666667,NA,NA,NA,NA
4137,0.860111,NA,NA,NA,NA
4138,0.850512,NA,NA,NA,NA
4139,0.827025252525252,NA,NA,NA,NA
4141,0.818405102040816,NA,NA,NA,NA
4143,0.853971844660194,NA,NA,NA,NA
4147,0.810092079207921,NA,NA,NA,NA
4149,0.852159047619048,NA,NA,NA,NA
4152,0.86485294117647,NA,NA,NA,NA
4153,0.894052,NA,NA,NA,NA
4157,0.84218137254902,NA,NA,NA,NA
4196,0.737132978723404,NA,NA,NA,NA
4201,0.549241304347826,NA,NA,NA,NA
4202,0.543906666666667,NA,NA,NA,NA
4203,0.686098913043478,NA,NA,NA,NA
4204,0.80433488372093,NA,NA,NA,NA
4205,0.825627956989247,NA,NA,NA,NA
4206,0.517502150537634,NA,NA,NA,NA
4207,0.662055681818182,NA,NA,NA,NA
4208,0.681237078651685,NA,NA,NA,NA
4209,0.724846666666667,NA,NA,NA,NA
4210,0.856502247191011,NA,NA,NA,NA
4211,0.475986170212766,NA,NA,NA,NA
4212,0.514887234042553,NA,NA,NA,NA
4213,0.551531182795699,NA,NA,NA,NA
4214,0.798403260869565,NA,NA,NA,NA
4215,0.822843157894737,NA,NA,NA,NA
4219,0.704578723404255,NA,NA,NA,NA
4220,0.776098958333333,NA,NA,NA,NA
4221,0.847813265306122,NA,NA,NA,NA
4222,0.85335376344086,NA,NA,NA,NA
4223,0.855830612244898,NA,NA,NA,NA
4225,0.681377894736842,NA,NA,NA,NA
4227,0.764568686868687,NA,NA,NA,NA
4228,0.808929591836735,NA,NA,NA,NA
4229,0.806335416666667,NA,NA,NA,NA
4230,0.834721875,NA,NA,NA,NA
4231,0.861239393939394,NA,NA,NA,NA
4237,0.845715533980582,NA,NA,NA,NA
