"Common_name","Scientific_name","Synonyms","Alt_common_names","SISRecID","genus","species","species_id","aou","english_common_name","sporder","family","nHabitats1","nHabitats2","index","major","marginal","suitable","weighted","Tol","OMI","volume"
"unknown",NA,NA,NA,NA,"Empidonax","difficilis / occidentalis",886,4642,"unid. Cordilleran / Pacific-slope Flycatcher","Passeriformes","Tyrannidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.937177233332041
"unknown",NA,NA,NA,NA,"Empidonax","sp.",889,4679,"unid. Empidonax Flycatcher","Passeriformes","Tyrannidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.03657098981601
"Black Phoebe","Sayornis nigricans","","",22699892,"Sayornis","nigricans",890,4580,"Black Phoebe","Passeriformes","Tyrannidae",5,6,0.705882352941176,2,0,4,2.33333333333333,0.23356186,4.657765658,1.93716281990591
"Eastern Phoebe","Sayornis phoebe","","",22699886,"Sayornis","phoebe",891,4560,"Eastern Phoebe","Passeriformes","Tyrannidae",1,2,0.941176470588235,2,0,0,3,0.245614629,1.111370966,1.36876963619854
"Say's Phoebe","Sayornis saya","","",22699889,"Sayornis","saya",892,4570,"Say's Phoebe","Passeriformes","Tyrannidae",3,4,0.823529411764706,1,0,3,2.25,0.827618262,6.49578619,1.72083525364159
"Common Vermilion Flycatcher","Pyrocephalus rubinus","","",103682912,"Pyrocephalus","rubinus",893,4710,"Vermilion Flycatcher","Passeriformes","Tyrannidae",4,7,0.647058823529412,0,0,7,2,0.511635961,7.861118785,0.837939186669129
"Ash-throated Flycatcher","Myiarchus cinerascens","","",22700427,"Myiarchus","cinerascens",898,4540,"Ash-throated Flycatcher","Passeriformes","Tyrannidae",4,6,0.705882352941176,1,0,5,2.16666666666667,1.095834464,6.088753297,1.67776453416071
"Great Crested Flycatcher","Myiarchus crinitus","","",22700433,"Myiarchus","crinitus",900,4520,"Great Crested Flycatcher","Passeriformes","Tyrannidae",3,4,0.823529411764706,1,0,3,2.25,1.647426735,2.521659606,1.58912602869401
"Cassin's Kingbird","Tyrannus vociferans","","",22700491,"Tyrannus","vociferans",915,4480,"Cassin's Kingbird","Passeriformes","Tyrannidae",4,9,0.529411764705882,0,0,9,2,0.203620691,8.503639944,1.00962740912836
"Western Kingbird","Tyrannus verticalis","","",22700497,"Tyrannus","verticalis",917,4470,"Western Kingbird","Passeriformes","Tyrannidae",4,5,0.764705882352941,0,0,5,2,1.185542459,3.061968561,2.20883582614495
"Eastern Kingbird","Tyrannus tyrannus","","",22700506,"Tyrannus","tyrannus",918,4440,"Eastern Kingbird","Passeriformes","Tyrannidae",3,10,0.470588235294118,4,0,6,2.4,0.650771716,0.598506378,2.42947453530312
"Grey Kingbird","Tyrannus dominicensis","","Gray Kingbird",22700509,"Tyrannus","dominicensis",919,4450,"Gray Kingbird","Passeriformes","Tyrannidae",5,9,0.529411764705882,2,1,6,2.11111111111111,0.489194947,17.5206967,0.139404365619369
