"xllcorner","yllcorner","cellsize","nrows","ncols","band","units","scale","latitude","longitude","site","product","start","end","complete","modis_date","calendar_date","tile","proc_date","pixel","value"
"-6840812.22","4269890.00","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.4,-78.5," 15","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009145","2009-05-25","h11v05","2015190121822",1,6315
"-6840812.22","4269890.00","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.4,-78.5," 15","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009161","2009-06-10","h11v05","2015190221847",1,8014
"-6840812.22","4269890.00","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.4,-78.5," 15","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009177","2009-06-26","h11v05","2015191092741",1,7032
"-6840812.22","4269890.00","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.4,-78.5," 15","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009193","2009-07-12","h11v05","2015192140937",1,8675
"-6840812.22","4269890.00","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.4,-78.5," 15","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009209","2009-07-28","h11v05","2015192140932",1,4576
"-6839422.29","4269890.00","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.4,-78.48333," 16","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009129","2009-05-09","h11v05","2015189212013",1,5965
"-6839422.29","4269890.00","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.4,-78.48333," 16","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009145","2009-05-25","h11v05","2015190121822",1,6296
"-6839422.29","4269890.00","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.4,-78.48333," 16","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009161","2009-06-10","h11v05","2015190221847",1,7438
"-6839422.29","4269890.00","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.4,-78.48333," 16","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009177","2009-06-26","h11v05","2015191092741",1,7312
"-6839422.29","4269890.00","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.4,-78.48333," 16","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009193","2009-07-12","h11v05","2015192140937",1,7639
"-6839422.29","4269890.00","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.4,-78.48333," 16","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009209","2009-07-28","h11v05","2015192140932",1,6426
"-6927683.43","4292129.01","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.6,-79.71667," 17","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009129","2009-05-09","h11v05","2015189212013",1,4557
"-6927683.43","4292129.01","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.6,-79.71667," 17","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009145","2009-05-25","h11v05","2015190121822",1,6513
"-6927683.43","4292129.01","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.6,-79.71667," 17","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009161","2009-06-10","h11v05","2015190221847",1,7721
"-6927683.43","4292129.01","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.6,-79.71667," 17","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009177","2009-06-26","h11v05","2015191092741",1,6247
"-6927683.43","4292129.01","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.6,-79.71667," 17","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009193","2009-07-12","h11v05","2015192140937",1,7683
"-6927683.43","4292129.01","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.6,-79.71667," 17","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009209","2009-07-28","h11v05","2015192140932",1,7644
"-6932084.92","4290275.72","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.58333,-79.75," 18","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009129","2009-05-09","h11v05","2015189212013",1,3319
"-6932084.92","4290275.72","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.58333,-79.75," 18","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009145","2009-05-25","h11v05","2015190121822",1,6215
"-6932084.92","4290275.72","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.58333,-79.75," 18","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009161","2009-06-10","h11v05","2015190221847",1,7893
"-6932084.92","4290275.72","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.58333,-79.75," 18","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009177","2009-06-26","h11v05","2015191092741",1,6486
"-6932084.92","4290275.72","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.58333,-79.75," 18","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009193","2009-07-12","h11v05","2015192140937",1,7976
"-6932084.92","4290275.72","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.58333,-79.75," 18","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009209","2009-07-28","h11v05","2015192140932",1,7816
"-10619822.49","4123483.14","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",37.08333,-119.71667," 19","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009129","2009-05-09","h08v05","2015189212346",1,2065
"-10619822.49","4123483.14","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",37.08333,-119.71667," 19","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009145","2009-05-25","h08v05","2015190120415",1,2183
"-10619822.49","4123483.14","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",37.08333,-119.71667," 19","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009161","2009-06-10","h08v05","2015190221910",1,1850
"-10619822.49","4123483.14","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",37.08333,-119.71667," 19","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009177","2009-06-26","h08v05","2015191094958",1,1763
