"xllcorner","yllcorner","cellsize","nrows","ncols","band","units","scale","latitude","longitude","site","product","start","end","complete","modis_date","calendar_date","tile","proc_date","pixel","value"
"-8169824.72","3512142.09","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",31.58591,-86.25038," 2033","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000161","2000-06-09","h10v05","2015137044136",1,3187
"-8169824.72","3512142.09","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",31.58591,-86.25038," 2033","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000177","2000-06-25","h10v05","2015138073649",1,4464
"-8169824.72","3512142.09","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",31.58591,-86.25038," 2033","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000193","2000-07-11","h10v05","2015138073647",1,5030
"-8169824.72","3512142.09","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",31.58591,-86.25038," 2033","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000209","2000-07-27","h10v05","2015138074433",1,4609
"-8216851.05","3496389.42","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",31.44395,-86.6132," 2034","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000129","2000-05-08","h10v05","2015137052354",1,2947
"-8216851.05","3496389.42","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",31.44395,-86.6132," 2034","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000145","2000-05-24","h10v05","2015137094842",1,3371
"-8216851.05","3496389.42","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",31.44395,-86.6132," 2034","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000161","2000-06-09","h10v05","2015137044136",1,3258
"-8216851.05","3496389.42","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",31.44395,-86.6132," 2034","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000177","2000-06-25","h10v05","2015138073649",1,3136
"-8216851.05","3496389.42","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",31.44395,-86.6132," 2034","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000193","2000-07-11","h10v05","2015138073647",1,2988
"-8216851.05","3496389.42","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",31.44395,-86.6132," 2034","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000209","2000-07-27","h10v05","2015138074433",1,2176
"-8281714.85","3446583.26","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",30.99771,-86.88583," 2035","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000129","2000-05-08","h10v05","2015137052354",1,4696
"-8281714.85","3446583.26","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",30.99771,-86.88583," 2035","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000145","2000-05-24","h10v05","2015137094842",1,4898
"-8281714.85","3446583.26","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",30.99771,-86.88583," 2035","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000161","2000-06-09","h10v05","2015137044136",1,405
"-8281714.85","3446583.26","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",30.99771,-86.88583," 2035","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000177","2000-06-25","h10v05","2015138073649",1,4737
