"stateroute","ndvi.mean","nbcd.point","nbcd.mean","nbcd.var","file"
6172,0.308622286160841,0,0,0,"NBCD_MZ25_BAW_height.tif"
6176,0.174876308168776,0,0,0,"NBCD_MZ14_BAW_height.tif"
6176,0.174876308168776,0,0,0,"NBCD_MZ15_BAW_height.tif"
6177,0.259211764705882,0,0,0,"NBCD_MZ14_BAW_height.tif"
6177,0.259211764705882,0,0,0,"NBCD_MZ15_BAW_height.tif"
6206,0.144231449814271,0,0,0,"NBCD_MZ13_BAW_height.tif"
6219,0.161153852881955,0,0,0,"NBCD_MZ14_BAW_height.tif"
6233,0.303363725490196,0,0,0,"NBCD_MZ25_BAW_height.tif"
7001,0.834923233333333,166,142.666666666667,5386.26666666667,"NBCD_MZ37a_BAW_height.tif"
7002,0.811148713333333,0,0,0,"NBCD_MZ45_BAW_height.tif"
7003,0.830985506666667,0,50.8333333333333,6202.56666666667,"NBCD_MZ37a_BAW_height.tif"
7004,0.824544286666667,0,0,0,"NBCD_MZ37a_BAW_height.tif"
7005,0.806529106666667,0,0,0,"NBCD_MZ37a_BAW_height.tif"
7006,0.789446073333333,0,0,0,"NBCD_MZ37a_BAW_height.tif"
7007,0.780551853333333,0,26.6666666666667,4266.66666666667,"NBCD_MZ44_BAW_height.tif"
7008,0.78718846,0,0,0,"NBCD_MZ45_BAW_height.tif"
7009,0.797711566666667,0,0,0,"NBCD_MZ45_BAW_height.tif"
7010,0.827917,0,0,0,"NBCD_MZ45_BAW_height.tif"
7011,0.829180373333333,221,168,7009.6,"NBCD_MZ44_BAW_height.tif"
7012,0.83269558,0,0,0,"NBCD_MZ37a_BAW_height.tif"
7013,0.82688514,0,27.1666666666667,4428.16666666667,"NBCD_MZ44_BAW_height.tif"
7014,0.825102253333333,0,129.166666666667,4007.36666666667,"NBCD_MZ44_BAW_height.tif"
7015,0.810334246666667,193,178.666666666667,95.8666666666667,"NBCD_MZ44_BAW_height.tif"
7016,0.794500933333333,0,78,8128.66666666667,"NBCD_MZ45_BAW_height.tif"
7017,0.771142926666667,0,0,0,"NBCD_MZ45_BAW_height.tif"
7018,0.7889558,0,0,0,"NBCD_MZ45_BAW_height.tif"
7019,0.799789226666667,152,71.1666666666667,6110.56666666667,"NBCD_MZ44_BAW_height.tif"
7020,0.83017342,0,42.1428571428571,5190.14285714286,"NBCD_MZ44_BAW_height.tif"
7021,0.812319433333333,0,68,5552.4,"NBCD_MZ44_BAW_height.tif"
7022,0.79167502,0,0,0,"NBCD_MZ44_BAW_height.tif"
7023,0.846635633333333,0,58.8,6490.7,"NBCD_MZ44_BAW_height.tif"
7024,0.756655873333333,0,0,0,"NBCD_MZ44_BAW_height.tif"
7025,0.807418726666667,0,0,0,"NBCD_MZ44_BAW_height.tif"
7026,0.822351426666667,142,39.4285714285714,4539.61904761905,"NBCD_MZ44_BAW_height.tif"
7027,0.80222192,155,105.333333333333,6667.06666666667,"NBCD_MZ44_BAW_height.tif"
7028,0.83946126,0,0,0,"NBCD_MZ44_BAW_height.tif"
7029,0.81961324,162,136,3604,"NBCD_MZ44_BAW_height.tif"
7030,0.804910506666667,0,0,0,"NBCD_MZ44_BAW_height.tif"
7031,0.825716446666667,0,45.5714285714286,6063.95238095238,"NBCD_MZ44_BAW_height.tif"
7033,0.811435146666667,142,99.1666666666667,5977.76666666667,"NBCD_MZ44_BAW_height.tif"
7035,0.733689366666667,0,0,0,"NBCD_MZ45_BAW_height.tif"
7036,0.79704468,0,0,0,"NBCD_MZ45_BAW_height.tif"
7037,0.79244686,0,0,0,"NBCD_MZ44_BAW_height.tif"
7038,0.84791508,149,63.7142857142857,6338.90476190476,"NBCD_MZ44_BAW_height.tif"
7039,0.81452464,0,0,0,"NBCD_MZ44_BAW_height.tif"
7041,0.826559906666667,0,0,0,"NBCD_MZ44_BAW_height.tif"
7042,0.801915813333333,0,0,0,"NBCD_MZ45_BAW_height.tif"
7043,0.832707106666667,0,27,4374,"NBCD_MZ45_BAW_height.tif"
7045,0.782878073333333,164,147.75,341.583333333333,"NBCD_MZ44_BAW_height.tif"
7046,0.826620953333333,0,0,0,"NBCD_MZ37a_BAW_height.tif"
7047,0.8278784,113,78.4,5617.3,"NBCD_MZ37a_BAW_height.tif"
7048,0.81908032,199,193.833333333333,122.966666666667,"NBCD_MZ45_BAW_height.tif"
7049,0.788208793333333,135,131.666666666667,269.866666666667,"NBCD_MZ44_BAW_height.tif"
7103,0.83123146,185,180.5,60.3,"NBCD_MZ37a_BAW_height.tif"
7109,0.798619253333333,0,0,0,"NBCD_MZ45_BAW_height.tif"
7111,0.826583326666667,0,74.5,6660.3,"NBCD_MZ44_BAW_height.tif"
7112,0.832400946666667,215,210.333333333333,193.066666666667,"NBCD_MZ37a_BAW_height.tif"
7114,0.823060773333333,172,159,210,"NBCD_MZ44_BAW_height.tif"
7117,0.771142926666667,0,0,0,"NBCD_MZ45_BAW_height.tif"
7118,0.7889558,0,0,0,"NBCD_MZ45_BAW_height.tif"
14001,0.841121643035307,0,36.5,5329,"NBCD_MZ03_BAW_height.tif"
14002,0.843565558441558,222,169.833333333333,7173.76666666667,"NBCD_MZ07_BAW_height.tif"
14003,0.685583760683761,222,207.285714285714,525.904761904762,"NBCD_MZ07_BAW_height.tif"
14004,0.805010366372534,0,123.428571428571,13586.619047619,"NBCD_MZ03_BAW_height.tif"
14005,0.820319443675427,172,43,7396,"NBCD_MZ03_BAW_height.tif"
14006,0.862303842105263,310,337.833333333333,1199.76666666667,"NBCD_MZ03_BAW_height.tif"
14007,0.549068888888889,0,77.5,8011,"NBCD_MZ05_BAW_height.tif"
14008,0.793043421052632,0,103.333333333333,12839.4666666667,"NBCD_MZ06_BAW_height.tif"
14009,0.608365333333333,244,181.333333333333,1047.86666666667,"NBCD_MZ06_BAW_height.tif"
14010,0.82785,0,0,0,"NBCD_MZ03_BAW_height.tif"
14011,0.786887280701754,0,33,6534,"NBCD_MZ03_BAW_height.tif"
14012,0.777608762740184,0,0,0,"NBCD_MZ05_BAW_height.tif"
14013,0.813866233766234,150,129.333333333333,4137.46666666667,"NBCD_MZ06_BAW_height.tif"
14014,0.730013394256423,208,169,6898.8,"NBCD_MZ03_BAW_height.tif"
14015,0.667822593646278,0,50.25,10100.25,"NBCD_MZ03_BAW_height.tif"
14015,0.667822593646278,0,30.5,3721,"NBCD_MZ05_BAW_height.tif"
14016,0.589611574074074,0,0,0,"NBCD_MZ05_BAW_height.tif"
14017,0.770202381833889,164,167.8,295.7,"NBCD_MZ06_BAW_height.tif"
14018,0.66747676056338,179,183.25,30.9166666666667,"NBCD_MZ06_BAW_height.tif"
14019,0.504611615618635,0,0,0,"NBCD_MZ04_BAW_height.tif"
14020,0.619083333333333,0,0,0,"NBCD_MZ05_BAW_height.tif"
14021,0.612702252252252,0,39,3920.8,"NBCD_MZ05_BAW_height.tif"
14022,0.651178828828829,0,21.1666666666667,2688.16666666667,"NBCD_MZ06_BAW_height.tif"
14023,0.254532865729065,0,0,0,"NBCD_MZ12_BAW_height.tif"
14024,0.639963513513514,0,0,0,"NBCD_MZ05_BAW_height.tif"
14025,0.472168571428571,0,0,0,"NBCD_MZ04_BAW_height.tif"
14026,0.544989954337899,0,0,0,"NBCD_MZ04_BAW_height.tif"
14026,0.544989954337899,0,0,0,"NBCD_MZ05_BAW_height.tif"
14027,0.565151598173516,0,12,1008,"NBCD_MZ05_BAW_height.tif"
14028,0.624091904761905,0,0,0,"NBCD_MZ05_BAW_height.tif"
14029,0.147662314792223,0,0,0,"NBCD_MZ13_BAW_height.tif"
14030,0.320309975351303,0,0,0,"NBCD_MZ13_BAW_height.tif"
14031,0.134497646269581,0,0,0,"NBCD_MZ13_BAW_height.tif"
14032,0.410575111111111,0,0,0,"NBCD_MZ04_BAW_height.tif"
14033,0.494164734299517,0,0,0,"NBCD_MZ05_BAW_height.tif"
14034,0.385935051280064,0,0,0,"NBCD_MZ06_BAW_height.tif"
14035,0.206212671821886,0,0,0,"NBCD_MZ13_BAW_height.tif"
14036,0.137911295738311,0,0,0,"NBCD_MZ13_BAW_height.tif"
14037,0.152847463130551,0,0,0,"NBCD_MZ13_BAW_height.tif"
