"species_id","aou","english_common_name","french_common_name","spanish_common_name","sporder","family","genus","species"
845,4720,"Northern Beardless-Tyrannulet","Tyranneau imberbe","Camptostoma imberbe","Passeriformes","Tyrannidae","Camptostoma","imberbe"
866,4590,"Olive-sided Flycatcher","Moucherolle à côtés olive","Contopus cooperi","Passeriformes","Tyrannidae","Contopus","cooperi"
867,4600,"Greater Pewee","Moucherolle de Coues","Contopus pertinax","Passeriformes","Tyrannidae","Contopus","pertinax"
868,4620,"Western Wood-Pewee","Pioui de l'Ouest","Contopus sordidulus","Passeriformes","Tyrannidae","Contopus","sordidulus"
869,4610,"Eastern Wood-Pewee","Pioui de l'Est","Contopus virens","Passeriformes","Tyrannidae","Contopus","virens"
872,4630,"Yellow-bellied Flycatcher","Moucherolle à ventre jaune","Empidonax flaviventris","Passeriformes","Tyrannidae","Empidonax","flaviventris"
873,4650,"Acadian Flycatcher","Moucherolle vert","Empidonax virescens","Passeriformes","Tyrannidae","Empidonax","virescens"
874,4661,"Alder Flycatcher","Moucherolle des aulnes","Empidonax alnorum","Passeriformes","Tyrannidae","Empidonax","alnorum"
875,4660,"Willow Flycatcher","Moucherolle des saules","Empidonax traillii","Passeriformes","Tyrannidae","Empidonax","traillii"
876,4665,"unid. Alder Flycatcher / Willow Flycatcher","unid Moucherolle des aulnes / des saules","Empidonax alnorum / traillii","Passeriformes","Tyrannidae","Empidonax","alnorum / traillii"
878,4670,"Least Flycatcher","Moucherolle tchébec","Empidonax minimus","Passeriformes","Tyrannidae","Empidonax","minimus"
879,4680,"Hammond's Flycatcher","Moucherolle de Hammond","Empidonax hammondii","Passeriformes","Tyrannidae","Empidonax","hammondii"
880,4691,"Gray Flycatcher","Moucherolle gris","Empidonax wrightii","Passeriformes","Tyrannidae","Empidonax","wrightii"
881,4690,"Dusky Flycatcher","Moucherolle sombre","Empidonax oberholseri","Passeriformes","Tyrannidae","Empidonax","oberholseri"
882,4689,"unid. Hammond's Flycatcher / Dusky Flycatcher","unid Moucherolle Hammond's / Moucherolle Dusky","Empidonax hammondii / oberholseri","Passeriformes","Tyrannidae","Empidonax","hammondii / oberholseri"
884,4641,"Pacific-slope Flycatcher","Moucherolle côtier","Empidonax difficilis","Passeriformes","Tyrannidae","Empidonax","difficilis"
885,4640,"Cordilleran Flycatcher","Moucherolle des ravins","Empidonax occidentalis","Passeriformes","Tyrannidae","Empidonax","occidentalis"
886,4642,"unid. Cordilleran / Pacific-slope Flycatcher","unid Moucherolle côtier / Moucherolle des ravins","Empidonax difficilis / occidentalis","Passeriformes","Tyrannidae","Empidonax","difficilis / occidentalis"
888,4700,"Buff-breasted Flycatcher","Moucherolle beige","Empidonax fulvifrons","Passeriformes","Tyrannidae","Empidonax","fulvifrons"
889,4679,"unid. Empidonax Flycatcher","unid Empidonax sp.","Empidonax sp.","Passeriformes","Tyrannidae","Empidonax","sp."
890,4580,"Black Phoebe","Moucherolle noir","Sayornis nigricans","Passeriformes","Tyrannidae","Sayornis","nigricans"
891,4560,"Eastern Phoebe","Moucherolle phébi","Sayornis phoebe","Passeriformes","Tyrannidae","Sayornis","phoebe"
892,4570,"Say's Phoebe","Moucherolle à ventre roux","Sayornis saya","Passeriformes","Tyrannidae","Sayornis","saya"
893,4710,"Vermilion Flycatcher","Moucherolle vermillon","Pyrocephalus rubinus","Passeriformes","Tyrannidae","Pyrocephalus","rubinus"
897,4550,"Dusky-capped Flycatcher","Tyran olivâtre","Myiarchus tuberculifer","Passeriformes","Tyrannidae","Myiarchus","tuberculifer"
898,4540,"Ash-throated Flycatcher","Tyran à gorge cendrée","Myiarchus cinerascens","Passeriformes","Tyrannidae","Myiarchus","cinerascens"
900,4520,"Great Crested Flycatcher","Tyran huppé","Myiarchus crinitus","Passeriformes","Tyrannidae","Myiarchus","crinitus"
901,4530,"Brown-crested Flycatcher","Tyran de Wied","Myiarchus tyrannulus","Passeriformes","Tyrannidae","Myiarchus","tyrannulus"
904,4490,"Great Kiskadee","Tyran quiquivi","Pitangus sulphuratus","Passeriformes","Tyrannidae","Pitangus","sulphuratus"
908,4510,"Sulphur-bellied Flycatcher","Tyran tigré","Myiodynastes luteiventris","Passeriformes","Tyrannidae","Myiodynastes","luteiventris"
912,4460,"Tropical Kingbird","Tyran mélancolique","Tyrannus melancholicus","Passeriformes","Tyrannidae","Tyrannus","melancholicus"
913,4461,"Couch's Kingbird","Tyran de Couch","Tyrannus couchii","Passeriformes","Tyrannidae","Tyrannus","couchii"
914,4462,"unid. Tropical Kingbird / Couch's Kingbird","unid Tyran mélancolique / Tyran de Couch","Tyrannus melancholicus / couchii","Passeriformes","Tyrannidae","Tyrannus","melancholicus / couchii"
915,4480,"Cassin's Kingbird","Tyran de Cassin","Tyrannus vociferans","Passeriformes","Tyrannidae","Tyrannus","vociferans"
916,4451,"Thick-billed Kingbird","Tyran à bec épais","Tyrannus crassirostris","Passeriformes","Tyrannidae","Tyrannus","crassirostris"
917,4470,"Western Kingbird","Tyran de l'Ouest","Tyrannus verticalis","Passeriformes","Tyrannidae","Tyrannus","verticalis"
918,4440,"Eastern Kingbird","Tyran tritri","Tyrannus tyrannus","Passeriformes","Tyrannidae","Tyrannus","tyrannus"
919,4450,"Gray Kingbird","Tyran gris","Tyrannus dominicensis","Passeriformes","Tyrannidae","Tyrannus","dominicensis"
921,4447,"unid. Cassin's Kingbird / Western Kingbird","unid Tyran de Cassin / Tyran de l'Ouest","Tyrannus vociferans / verticalis","Passeriformes","Tyrannidae","Tyrannus","vociferans / verticalis"
922,4430,"Scissor-tailed Flycatcher","Tyran à longue queue","Tyrannus forficatus","Passeriformes","Tyrannidae","Tyrannus","forficatus"
923,4420,"Fork-tailed Flycatcher","Tyran des savanes","Tyrannus savana","Passeriformes","Tyrannidae","Tyrannus","savana"
938,6220,"Loggerhead Shrike","Pie-grièche migratrice","Lanius ludovicianus","Passeriformes","Laniidae","Lanius","ludovicianus"
939,6210,"Northern Shrike","Pie-grièche grise","Lanius excubitor","Passeriformes","Laniidae","Lanius","excubitor"
947,6300,"Black-capped Vireo","Viréo à tête noire","Vireo atricapilla","Passeriformes","Vireonidae","Vireo","atricapilla"
949,6310,"White-eyed Vireo","Viréo aux yeux blancs","Vireo griseus","Passeriformes","Vireonidae","Vireo","griseus"
954,6330,"Bell's Vireo","Viréo de Bell","Vireo bellii","Passeriformes","Vireonidae","Vireo","bellii"
955,6340,"Gray Vireo","Viréo gris","Vireo vicinior","Passeriformes","Vireonidae","Vireo","vicinior"
956,6320,"Hutton's Vireo","Viréo de Hutton","Vireo huttoni","Passeriformes","Vireonidae","Vireo","huttoni"
957,6280,"Yellow-throated Vireo","Viréo à gorge jaune","Vireo flavifrons","Passeriformes","Vireonidae","Vireo","flavifrons"
958,6291,"Cassin's Vireo","Viréo de Cassin","Vireo cassinii","Passeriformes","Vireonidae","Vireo","cassinii"
959,6290,"Blue-headed Vireo","Viréo à tête bleue","Vireo solitarius","Passeriformes","Vireonidae","Vireo","solitarius"
960,6296,"unid. Plumbeous Vireo / Cassin's Vireo","unid Viréo plombé / Viréo de Cassin","Vireo plumbeus / solitarius","Passeriformes","Vireonidae","Vireo","plumbeus / solitarius"
961,6295,"unid. Cassin's Vireo / Blue-headed Vireo","unid Viréo de Cassin / Viréo à tête bleue","Vireo cassinii / solitarius","Passeriformes","Vireonidae","Vireo","cassinii / solitarius"
962,6292,"Plumbeous Vireo","Viréo plombé","Vireo plumbeus","Passeriformes","Vireonidae","Vireo","plumbeus"
963,6260,"Philadelphia Vireo","Viréo de Philadelphie","Vireo philadelphicus","Passeriformes","Vireonidae","Vireo","philadelphicus"
964,6270,"Warbling Vireo","Viréo mélodieux","Vireo gilvus","Passeriformes","Vireonidae","Vireo","gilvus"
966,6240,"Red-eyed Vireo","Viréo aux yeux rouges","Vireo olivaceus","Passeriformes","Vireonidae","Vireo","olivaceus"
968,6230,"Black-whiskered Vireo","Viréo à moustaches","Vireo altiloquus","Passeriformes","Vireonidae","Vireo","altiloquus"
970,4840,"Gray Jay","Mésangeai du Canada","Perisoreus canadensis","Passeriformes","Corvidae","Perisoreus","canadensis"
979,4830,"Green Jay","Geai vert","Cyanocorax yncas","Passeriformes","Corvidae","Cyanocorax","yncas"
983,4920,"Pinyon Jay","Geai des pinèdes","Gymnorhinus cyanocephalus","Passeriformes","Corvidae","Gymnorhinus","cyanocephalus"
984,4780,"Steller's Jay","Geai de Steller","Cyanocitta stelleri","Passeriformes","Corvidae","Cyanocitta","stelleri"
985,4770,"Blue Jay","Geai bleu","Cyanocitta cristata","Passeriformes","Corvidae","Cyanocitta","cristata"
986,4790,"Florida Scrub-Jay","Geai à gorge blanche","Aphelocoma coerulescens","Passeriformes","Corvidae","Aphelocoma","coerulescens"
987,4811,"Island Scrub-Jay","Geai de Santa Cruz","Aphelocoma insularis","Passeriformes","Corvidae","Aphelocoma","insularis"
988,4812,"California Scrub-Jay","Geai buissonnier","Aphelocoma californica","Passeriformes","Corvidae","Aphelocoma","californica"
989,4813,"Woodhouse's Scrub-Jay","Geai de Woodhouse","Aphelocoma woodhouseii","Passeriformes","Corvidae","Aphelocoma","woodhouseii"
990,4810,"unid. California Scrub-Jay / Woodhouse's Scrub-Jay","unid Geai buissonnier / Geai de Woodhouse","Aphelocoma californica / woodhouseii","Passeriformes","Corvidae","Aphelocoma","californica / woodhouseii"
992,4820,"Mexican Jay","Geai du Mexique","Aphelocoma wollweberi","Passeriformes","Corvidae","Aphelocoma","wollweberi"
994,4910,"Clark's Nutcracker","Cassenoix d'Amérique","Nucifraga columbiana","Passeriformes","Corvidae","Nucifraga","columbiana"
995,4750,"Black-billed Magpie","Pie d'Amérique","Pica hudsonia","Passeriformes","Corvidae","Pica","hudsonia"
996,4760,"Yellow-billed Magpie","Pie à bec jaune","Pica nuttalli","Passeriformes","Corvidae","Pica","nuttalli"
998,4880,"American Crow","Corneille d'Amérique","Corvus brachyrhynchos","Passeriformes","Corvidae","Corvus","brachyrhynchos"
999,4890,"Northwestern Crow","Corneille d'Alaska","Corvus caurinus","Passeriformes","Corvidae","Corvus","caurinus"
1002,4900,"Fish Crow","Corneille de rivage","Corvus ossifragus","Passeriformes","Corvidae","Corvus","ossifragus"
1003,4881,"unid. American Crow / Fish Crow","unid Corneille d'Amérique / Corneille de rivage","Corvus brachyrhynchos / ossifragus","Passeriformes","Corvidae","Corvus","brachyrhynchos / ossifragus"
1004,4882,"unid. American Crow / Northwestern Crow","unid Corneille d'Amérique / Corneille d'Alaska","Corvus brachyrhynchos / caurinus","Passeriformes","Corvidae","Corvus","brachyrhynchos / caurinus"
1005,4870,"Chihuahuan Raven","Corbeau à cou blanc","Corvus cryptoleucus","Passeriformes","Corvidae","Corvus","cryptoleucus"
1006,4860,"Common Raven","Grand Corbeau","Corvus corax","Passeriformes","Corvidae","Corvus","corax"
1007,4865,"unid. Chihuahuan Raven / Common Raven","unid Grand Corbeau / Corbeau à cou blanc","Corvus cryptoleucus / corax","Passeriformes","Corvidae","Corvus","cryptoleucus / corax"
1008,4730,"Eurasian Skylark","Alouette des champs","Alauda arvensis","Passeriformes","Alaudidae","Alauda","arvensis"
1009,4740,"Horned Lark","Alouette hausse-col","Eremophila alpestris","Passeriformes","Alaudidae","Eremophila","alpestris"
1010,6110,"Purple Martin","Hirondelle noire","Progne subis","Passeriformes","Hirundinidae","Progne","subis"
1016,6140,"Tree Swallow","Hirondelle bicolore","Tachycineta bicolor","Passeriformes","Hirundinidae","Tachycineta","bicolor"
1018,6150,"Violet-green Swallow","Hirondelle à face blanche","Tachycineta thalassina","Passeriformes","Hirundinidae","Tachycineta","thalassina"
1022,6170,"Northern Rough-winged Swallow","Hirondelle à ailes hérissées","Stelgidopteryx serripennis","Passeriformes","Hirundinidae","Stelgidopteryx","serripennis"
1024,6160,"Bank Swallow","Hirondelle de rivage","Riparia riparia","Passeriformes","Hirundinidae","Riparia","riparia"
1025,6120,"Cliff Swallow","Hirondelle à front blanc","Petrochelidon pyrrhonota","Passeriformes","Hirundinidae","Petrochelidon","pyrrhonota"
1026,6121,"Cave Swallow","Hirondelle à front brun","Petrochelidon fulva","Passeriformes","Hirundinidae","Petrochelidon","fulva"
1027,6122,"unid. Cave Swallow / Cliff Swallow","unid Hirondelle à front blanc / à front brun","Petrochelidon pyrrhonota / fulva","Passeriformes","Hirundinidae","Petrochelidon","pyrrhonota / fulva"
1028,6130,"Barn Swallow","Hirondelle rustique","Hirundo rustica","Passeriformes","Hirundinidae","Hirundo","rustica"
1030,7360,"Carolina Chickadee","Mésange de Caroline","Poecile carolinensis","Passeriformes","Paridae","Poecile","carolinensis"
1031,7350,"Black-capped Chickadee","Mésange à tête noire","Poecile atricapillus","Passeriformes","Paridae","Poecile","atricapillus"
1032,7380,"Mountain Chickadee","Mésange de Gambel","Poecile gambeli","Passeriformes","Paridae","Poecile","gambeli"
1033,7370,"Mexican Chickadee","Mésange grise","Poecile sclateri","Passeriformes","Paridae","Poecile","sclateri"
1034,7410,"Chestnut-backed Chickadee","Mésange à dos marron","Poecile rufescens","Passeriformes","Paridae","Poecile","rufescens"
1035,7400,"Boreal Chickadee","Mésange à tête brune","Poecile hudsonicus","Passeriformes","Paridae","Poecile","hudsonicus"
1037,7352,"unid. Carolina Chickadee / Black-capped Chickadee","unid Mésange de Caroline / Mésange à tête noire","Poecile carolinensis / atricapillus","Passeriformes","Paridae","Poecile","carolinensis / atricapillus"
1038,7353,"unid. Black-capped Chickadee / Mountain Chickadee","unid Mésange à tête noire / Mésange de Gambel","Poecile atricapillus / gambeli","Passeriformes","Paridae","Poecile","atricapillus / gambeli"
1039,7354,"unid. Black-capped Chickadee / Boreal Chickadee","unid Mésange à tête noire / Mésange à tête brune","Poecile atricapillus / hudsonicus","Passeriformes","Paridae","Poecile","atricapillus / hudsonicus"
1040,7351,"unid. western chickadee species","unid Mésange sp. de l'Ouest","Poecile sp.","Passeriformes","Paridae","Poecile","sp."
1041,7340,"Bridled Titmouse","Mésange arlequin","Baeolophus wollweberi","Passeriformes","Paridae","Baeolophus","wollweberi"
1042,7330,"Oak Titmouse","Mésange unicolore","Baeolophus inornatus","Passeriformes","Paridae","Baeolophus","inornatus"
1043,7331,"Juniper Titmouse","Mésange des genévriers","Baeolophus ridgwayi","Passeriformes","Paridae","Baeolophus","ridgwayi"
